year,month,export_country,export_country_code,export_country_region,export_country_subregion,export_country_latitude,export_country_longitude,import_country,import_country_code,import_country_region,import_country_subregion,import_country_latitude,import_country_longitude,commodity,value,quantity,unit_price
2015,3,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,29732342,498664,0.2659616790338902
2015,3,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,166964996,2762192,0.28604913529135073
2015,3,Argentina,ARG,Americas,Latin America and the Caribbean,-34.98567234,-65.12225892,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,94411029,1675947,0.18559171711339373
2015,3,Bahamas,BHS,Americas,Latin America and the Caribbean,25.90317684,-78.61665744,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,3363,75,-0.09507435751314003
2015,3,Brazil,BRA,Americas,Latin America and the Caribbean,-10.77518961,-53.09141767,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,162586305,3131356,0.07787354543555898
2015,3,Brazil,BRA,Americas,Latin America and the Caribbean,-10.77518961,-53.09141767,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,50216014,993215,0.04458918682578656
2015,3,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,2281381358,61935948,-0.2905738381104
2015,3,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,366402,7747,-0.035097400897983196
2015,3,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,1464466368,31028287,-0.03749556964917011
2015,3,Chad,TCD,Africa,Sub-Saharan Africa,15.35740495,18.66399556,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,99175398,1908031,0.07923776648645356
2015,3,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,531772796,10663629,0.0277106503701448
2015,3,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,393287002,6951523,0.19151901233153573
2015,3,Congo,COG,Africa,Sub-Saharan Africa,-0.83949506,15.22629207,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,53837942,880871,0.3024703342119308
2015,3,Ecuador,ECU,Americas,Latin America and the Caribbean,-1.464036749,-78.05190165,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,322016354,6359517,0.04645225443548393
2015,3,Gabon,GAB,Africa,Sub-Saharan Africa,-0.595400581,11.79997877,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,49999999,951187,0.09359770605449554
2015,3,Guatemala,GTM,Americas,Latin America and the Caribbean,15.699081,-90.35850945,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,11750319,273263,-0.1400076046375591
2015,3,Iraq,IRQ,Asia,Western Asia,33.04497404,43.77207391,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,283627533,5284514,0.12059610573524383
2015,3,Kuwait,KWT,Asia,Western Asia,29.29832118,47.53304536,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,5133042,122096,-0.16342716427480003
2015,3,Kuwait,KWT,Asia,Western Asia,29.29832118,47.53304536,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,285085027,5332684,0.11543113481620788
2015,3,Libya,LBY,Africa,Northern Africa,27.04420762,18.02212777,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,15627914,197398,0.7432786612592387
2015,3,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,931594393,20074988,-0.0568381871497435
2015,3,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,3178978,95541,-0.37753811244046004
2015,3,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,308636350,4992557,0.3195723795816812
2015,3,Nigeria,NGA,Africa,Sub-Saharan Africa,9.590667555,8.10605344,Norway,NOR,Europe,Northern Europe,64.41197955,14.06269622,oil,23715764,400734,0.2551387510749322
2015,3,Nigeria,NGA,Africa,Sub-Saharan Africa,9.590667555,8.10605344,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,61252449,1076005,0.2000697663748127
2015,3,Norway,NOR,Europe,Northern Europe,64.41197955,14.06269622,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,31415848,574225,0.1459581602654495
2015,3,Panama,PAN,Americas,Latin America and the Caribbean,8.518057314,-80.07104511,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,8218,652,-0.8822937762900862
2015,3,Saudi Arabia,SAU,Asia,Western Asia,24.12628999,44.54637538,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,5133042,122096,-0.16342716427480003
2015,3,Saudi Arabia,SAU,Asia,Western Asia,24.12628999,44.54637538,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,1392822766,29038657,-0.018773386605771592
2015,3,United Arab Emirates,ARE,Asia,Western Asia,23.90525867,54.35072869,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,33710843,601913,0.1776116991561041
2015,3,United Kingdom,GBR,Europe,Northern Europe,53.75504855,-2.103843405,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,22695100,410696,0.15939195686020557
2015,4,Albania,ALB,Europe,Southern Europe,41.13180899,20.06882519,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,12473343,228157,0.14498138520538184
2015,4,Algeria,DZA,Africa,Northern Africa,28.16474462,2.63351219,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,39378,716,0.15297203168481502
2015,4,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,11745745,200768,0.23861217350608724
2015,4,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,125833366,2229085,0.18846693031799486
2015,4,Argentina,ARG,Americas,Latin America and the Caribbean,-34.98567234,-65.12225892,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,3151165,53292,0.2539019980380669
2015,4,Brazil,BRA,Americas,Latin America and the Caribbean,-10.77518961,-53.09141767,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,274597605,5573868,0.012991739393885302
2015,4,Brazil,BRA,Americas,Latin America and the Caribbean,-10.77518961,-53.09141767,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,113523296,1943906,0.23606049249640057
2015,4,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,2546653209,67683723,-0.2712507449788672
2015,4,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,481999,10260,-0.04285160507959351
2015,4,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,1468830685,29460079,0.027477203391609282
2015,4,Chad,TCD,Africa,Sub-Saharan Africa,15.35740495,18.66399556,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,117613716,2375009,0.01924827942194818
2015,4,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,470311724,8643052,0.13875425936017646
2015,4,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,258437268,4749540,0.13870809581875135
2015,4,Congo,COG,Africa,Sub-Saharan Africa,-0.83949506,15.22629207,Norway,NOR,Europe,Northern Europe,64.41197955,14.06269622,oil,61557372,996670,0.3181986826178863
2015,4,Congo,COG,Africa,Sub-Saharan Africa,-0.83949506,15.22629207,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,10139112,217430,-0.05132181922929051
2015,4,Ecuador,ECU,Americas,Latin America and the Caribbean,-1.464036749,-78.05190165,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,182360309,3627129,0.03769538291446509
2015,4,Ecuador,ECU,Americas,Latin America and the Caribbean,-1.464036749,-78.05190165,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,37013901,688756,0.12227557252426695
2015,4,Guatemala,GTM,Americas,Latin America and the Caribbean,15.699081,-90.35850945,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,11422873,271005,-0.16076501382945232
2015,4,Iraq,IRQ,Asia,Western Asia,33.04497404,43.77207391,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,166707154,3439377,-0.006423201420976464
2015,4,Kuwait,KWT,Asia,Western Asia,29.29832118,47.53304536,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,35980688,779322,-0.06261386374528631
2015,4,Kuwait,KWT,Asia,Western Asia,29.29832118,47.53304536,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,458173568,8483290,0.12883803261916263
2015,4,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,837202566,17824014,-0.043046383575365624
2015,4,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,1780481,56121,-0.41533381860390944
2015,4,Mexico,MEX,Americas,Latin America and the Caribbean,23.93832004,-102.5023164,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,182295267,3280248,0.16704854735536293
2015,4,Nigeria,NGA,Africa,Sub-Saharan Africa,9.590667555,8.10605344,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,139321127,2411225,0.2209354066943096
2015,4,Saudi Arabia,SAU,Asia,Western Asia,24.12628999,44.54637538,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,2020485568,40712578,0.021853139387402243
2015,4,United Kingdom,GBR,Europe,Northern Europe,53.75504855,-2.103843405,Norway,NOR,Europe,Northern Europe,64.41197955,14.06269622,oil,11670908,208262,0.17842672516031527
2015,4,United Kingdom,GBR,Europe,Northern Europe,53.75504855,-2.103843405,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,31506855,513239,0.30904648749671937
2015,5,Albania,ALB,Europe,Southern Europe,41.13180899,20.06882519,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,10253966,161658,0.3589068468949785
2015,5,Angola,AGO,Africa,Sub-Saharan Africa,-12.3755731,17.59867248,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,173501002,3327597,0.083197654881971
2015,5,Argentina,ARG,Americas,Latin America and the Caribbean,-34.98567234,-65.12225892,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,80529799,1336440,0.2814188092735543
2015,5,Brazil,BRA,Americas,Latin America and the Caribbean,-10.77518961,-53.09141767,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,172000135,2840976,0.2883951048466937
2015,5,Brazil,BRA,Americas,Latin America and the Caribbean,-10.77518961,-53.09141767,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,39837680,696707,0.20627651410588205
2015,5,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,2369468693,58426625,-0.1997268283913081
2015,5,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,2573108,51998,0.018353807760811084
2015,5,Canada,CAN,Americas,Northern America,61.4126317,-98.23039804,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,1273063883,24048800,0.10265272501235673
2015,5,Chad,TCD,Africa,Sub-Saharan Africa,15.35740495,18.66399556,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,42470465,952672,-0.10141484584705887
2015,5,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,670396246,11523257,0.23064126916450572
2015,5,Colombia,COL,Americas,Latin America and the Caribbean,3.897367041,-73.07080696,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,222965444,3631825,0.30914052662594893
2015,5,Congo,COG,Africa,Sub-Saharan Africa,-0.83949506,15.22629207,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,29863,640,-0.05060573685818657
2015,5,Ecuador,ECU,Americas,Latin America and the Caribbean,-1.464036749,-78.05190165,United States,USA,Americas,Northern America,45.73643438,-112.404207,oil,180086952,3247497,0.16412916208476142
